"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ChaseSupport Ok",FALSE,0,"ChaseSupport",2015-01-14 19:27:57,FALSE,"555442865640587264","555446238179778560","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AkiSolomos",0,FALSE,FALSE,NA,NA
"@ChaseSupport they’ve called claims dept a few times and can’t seem to figure it out",FALSE,0,"ChaseSupport",2015-01-14 19:27:54,FALSE,NA,"555446225563291648","274789264","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","runsammrun",0,FALSE,FALSE,"-73.99348162","40.73661804"
"@ChaseSupport Wondering what we have to do to keep our branch in Greenville, MI alive and working.",FALSE,0,"ChaseSupport",2015-01-14 19:27:41,FALSE,NA,"555446169963626496","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gibber300",0,FALSE,FALSE,NA,NA
"@ChaseSupport the executor is a friend of the family that has moved out of state. Is there a form I can mail her?",FALSE,0,"ChaseSupport",2015-01-14 19:27:41,FALSE,"555445766169579520","555446169447309313","274789264","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustHollow42",0,FALSE,FALSE,NA,NA
"@ChaseSupport I’m at the bank now and no one can figure out how to get them, is there something I should tell them that would help?",FALSE,0,"ChaseSupport",2015-01-14 19:27:31,FALSE,NA,"555446128385486848","274789264","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","runsammrun",0,FALSE,FALSE,"-73.99348162","40.73661804"
"@ChaseSupport : Aliente, NLV NV brance Had 1 since I've Been in NLV (2009). Was no reason to call ahead. Just saying that I was surprised",FALSE,0,"ChaseSupport",2015-01-14 19:25:40,FALSE,"555419829138894849","555445664487079936","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RicksWord",0,FALSE,FALSE,NA,NA
"@ChaseSupport My father has passed away, how do I claim the funds in his Chase banking account? I have his will and I am sole beneficiary.",FALSE,0,"ChaseSupport",2015-01-14 18:53:26,FALSE,NA,"555437553738731520","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustHollow42",0,FALSE,FALSE,NA,NA
"@ChaseSupport When you send chase quick pay from a non-chase account does it immediately send you email verification that you sent paymnt?",FALSE,0,"ChaseSupport",2015-01-14 18:50:53,FALSE,NA,"555436909057830913","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amharris87",0,FALSE,FALSE,NA,NA
"@ChaseSupport DM sent...",FALSE,0,"ChaseSupport",2015-01-14 18:16:23,FALSE,"555082104284119041","555428228132012032","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AkiSolomos",0,FALSE,FALSE,NA,NA
"@ChaseSupport I will!!",FALSE,0,"ChaseSupport",2015-01-14 18:08:21,FALSE,"555378559083360256","555426205067771906","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pinocchios",0,FALSE,FALSE,NA,NA
"@ChaseSupport I figured it out. They sent me some form that I have to fill out and return. Thanks though!",FALSE,0,"ChaseSupport",2015-01-14 17:44:41,FALSE,"555419945816059904","555420251576627200","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MulliniXXX",0,FALSE,FALSE,NA,NA
"@ChaseSupport should be resolve the technology of your new ATMs got me <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE,0,"ChaseSupport",2015-01-14 17:42:50,FALSE,"555419450934304770","555419784096256000","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FinderBillinky",0,FALSE,FALSE,NA,NA
"@ChaseSupport HUGE issue closing a short sale that was approved. Chase Closer is NOT GREAT, 3rd approval letter now expired, Please HELP!",FALSE,0,"ChaseSupport",2015-01-14 17:25:44,FALSE,NA,"555415480790695942","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KKsuperawesome",0,FALSE,FALSE,NA,NA
"@ChaseSupport do you offer bank accounts to international students studying at US universities?",FALSE,0,"ChaseSupport",2015-01-14 17:16:05,FALSE,NA,"555413050678079488","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KFC95",0,FALSE,FALSE,NA,NA
"@ChaseSupport thank you for your respond, love this support!",FALSE,0,"ChaseSupport",2015-01-14 17:13:58,FALSE,"555370855396823040","555412521968865281","274789264","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","nghiadinh94",0,FALSE,FALSE,NA,NA
"@business It really  seems  true. Regulations can go too far. I never had any problem with  @Chase and get great @ChaseSupport @nami13",FALSE,0,"mahramm",2015-01-14 17:02:35,FALSE,"555408800996675587","555409656252993537","21430070","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mahramm",0,FALSE,FALSE,NA,NA
"@ChaseSupport Will do! Headed your way ...",FALSE,0,"ChaseSupport",2015-01-14 16:52:06,FALSE,"555403218801676288","555407017469550593","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crumpetsncream",0,FALSE,FALSE,NA,NA
"@ChaseSupport
 hey chase people,
So what's the deal with you guys covering broken phones up to 120 days after the purchase? 
#help",FALSE,0,"ChaseSupport",2015-01-14 16:46:26,FALSE,NA,"555405589074149377","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MulliniXXX",0,FALSE,FALSE,NA,NA
"@ChaseSupport I need the # to send the authorization letter",FALSE,0,"ChaseSupport",2015-01-14 16:26:01,FALSE,NA,"555400452784025600","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arodhomes",0,FALSE,FALSE,NA,NA
"@ChaseSupport Radio button to pay my statement balance is grayed out-perhaps due to a return I made? Can only pay current balance or other.",FALSE,0,"ChaseSupport",2015-01-14 16:04:19,FALSE,NA,"555394993217871872","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crumpetsncream",0,FALSE,FALSE,NA,NA
"@ChaseSupport thank you!!",FALSE,0,"ChaseSupport",2015-01-14 15:58:24,FALSE,"555389513321963520","555393503027810304","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yoelisaak",0,FALSE,FALSE,NA,NA
"@ChaseSupport I've sent an email through my account asking about the charges - still waiting for a reply. Thanks.",FALSE,0,"ChaseSupport",2015-01-14 15:40:10,FALSE,"555376683650662400","555388915519987712","274789264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrigeBarn",0,FALSE,FALSE,NA,NA
"@ChaseSupport messaged you guys were you able to figure out why I was charged 25$ for a service fee?",FALSE,0,"ChaseSupport",2015-01-14 15:23:16,FALSE,"555376981563678721","555384662898380801","274789264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mfantauzzo1",0,FALSE,FALSE,NA,NA
